시대,ID,유형,힌트 여부,힌트
고조선,1,4지선다,x,
고조선,2,4지선다,o,찍개는 어느 시대에 사용되었던 유물이었을까요? 생각해봅시다. (나) 지역은 그 시대의 대표적인 지역입니다.
고조선,3,ox,x,
고조선,4,4지선다,x,
고조선,5,4지선다,x,
고조선,6,4지선다,x,
고조선,7,4지선다,x,
고조선,8,ox,x,
고조선,9,4지선다,o,"위만은 연에서 명망하여 준왕에게 항복하였으나, 이후 준왕을 공격한 인물입니다. 위만이 한 행동을 찾아봅시다. 적어도 두 개는 확실하게 아닌 것이 보이네요."
고조선,10,4지선다,x,
고조선,11,4지선다,o,위만의 손자인 (가) 인물은 어떤 나라의 왕이었을지 생각해봅시다. 위만은 (나) 나라의 준왕을 몰아내고 (나) 나라의 왕이 된 사람입니다.
고조선,12,4지선다,x,
고조선,13,4지선다,x,
고조선,14,4지선다,x,
고조선,15,4지선다,x,
고조선,16,4지선다,x,
고조선,17,ox,x,
고조선,18,4지선다,x,
고조선,19,4지선다,x,
고조선,20,ox,x,
고조선,21,4지선다,x,
고조선,22,4지선다,x,
고조선,23,4지선다,o,"부여는 영고라는 제천 행사가, 고구려에는 동맹이라는 제천 행사가, 동예에는 무천이라는 제천행사가, 삼한에는 수릿날과 가을걷이를 마치는 10월에 계절제를 열어 하늘에 제사를 지냈습니다. 각 나라의 제천 행사가 언제 열렸는지 떠올려봅시다."
고조선,24,4지선다,x,
고조선,25,4지선다,x,
고조선,26,4지선다,x,
고조선,27,4지선다,x,
고조선,28,4지선다,x,
고조선,29,4지선다,x,
고조선,30,ox,x,
